64;162.00
128;219.00
256;521.00
512;2516.00
1024;18103.00
1500;56763.00
2000;110553.00
2048;132465.00
2500;225616.00
3000;402624.00
3500;652964.00
4000;926505.00
4096;969266.00
64;169.00
128;218.00
256;523.00
512;2508.00
1024;18123.00
1500;56679.00
2000;110503.00
2048;130239.00
2500;225769.00
3000;402500.00
3500;653730.00
4000;927288.00
4096;968861.00
64;161.00
128;218.00
256;523.00
512;2521.00
1024;18144.00
1500;56728.00
2000;121042.00
2048;132151.00
2500;226106.00
3000;402946.00
3500;653188.00
4000;927236.00
4096;970314.00
64;162.00
128;221.00
256;525.00
512;2519.00
1024;18146.00
1500;56677.00
2000;125497.00
2048;119052.00
2500;225610.00
3000;402511.00
3500;653690.00
4000;927178.00
4096;969762.00
64;165.00
128;219.00
256;539.00
512;2525.00
1024;18158.00
1500;56717.00
2000;115914.00
2048;118605.00
2500;225668.00
3000;402493.00
3500;653822.00
4000;927026.00
4096;969215.00
64;161.00
128;216.00
256;523.00
512;2516.00
1024;18079.00
1500;56872.00
2000;109605.00
2048;130807.00
2500;225948.00
3000;403115.00
3500;653677.00
4000;927698.00
4096;969732.00
64;161.00
128;215.00
256;519.00
512;2521.00
1024;18094.00
1500;56710.00
2000;112778.00
2048;119011.00
2500;225609.00
3000;402511.00
3500;653750.00
4000;927441.00
4096;969822.00
64;161.00
128;215.00
256;522.00
512;2525.00
1024;18128.00
1500;56694.00
2000;128535.00
2048;141940.00
2500;225856.00
3000;402235.00
3500;653496.00
4000;926798.00
4096;969350.00
64;170.00
128;219.00
256;526.00
512;2526.00
1024;18148.00
1500;56696.00
2000;127359.00
2048;122468.00
2500;226604.00
3000;402659.00
3500;653631.00
4000;927339.00
4096;968943.00
64;161.00
128;217.00
256;523.00
512;2567.00
1024;18157.00
1500;56758.00
2000;123278.00
2048;122314.00
2500;226272.00
3000;402954.00
3500;654022.00
4000;927893.00
4096;970279.00
