64;268.00
128;390.00
256;897.00
512;4270.00
1024;27427.00
1500;84137.00
2000;177210.00
2048;191106.00
64;300.00
128;393.00
256;865.00
512;4271.00
1024;27454.00
1500;83466.00
2000;178569.00
2048;190221.00
64;270.00
128;388.00
256;858.00
512;4289.00
1024;27462.00
1500;80998.00
2000;177041.00
2048;190213.00
64;261.00
128;417.00
256;874.00
512;4273.00
1024;27425.00
1500;80802.00
2000;177820.00
2048;189003.00
64;266.00
128;428.00
256;867.00
512;4270.00
1024;27516.00
1500;83033.00
2000;177637.00
2048;188734.00
64;269.00
128;428.00
256;869.00
512;4264.00
1024;27071.00
1500;84162.00
2000;177204.00
2048;190363.00
64;262.00
128;398.00
256;931.00
512;4270.00
1024;27451.00
1500;83568.00
2000;175984.00
2048;190610.00
64;285.00
128;397.00
256;877.00
512;4281.00
1024;27064.00
1500;84129.00
2000;177603.00
2048;190040.00
64;282.00
128;406.00
256;865.00
512;4275.00
1024;27447.00
1500;83447.00
2000;178674.00
2048;188451.00
64;265.00
128;397.00
256;870.00
512;4286.00
1024;27454.00
1500;81546.00
2000;177688.00
2048;190261.00
